snapshot_id,snapshot_date,factory_id,product_id,opening_stock,production_units,dispatch_units,closing_stock
INV-600110,2023-05-01,FAC-001,HW-PC-10004,72,355,330,97
INV-600111,2023-06-01,FAC-001,HW-PC-10004,59,285,316,28
INV-600112,2023-07-01,FAC-001,HW-PC-10004,94,297,300,91
INV-600113,2023-08-01,FAC-001,HW-PC-10004,88,279,287,80
INV-600114,2023-09-01,FAC-001,HW-PC-10004,135,452,512,75
INV-600115,2023-10-01,FAC-001,HW-PC-10004,101,480,479,102
INV-600116,2023-11-01,FAC-001,HW-PC-10004,111,342,417,36
INV-600117,2023-12-01,FAC-001,HW-PC-10004,83,345,327,101
INV-600118,2024-01-01,FAC-001,HW-PC-10004,71,344,359,56
INV-600119,2024-02-01,FAC-001,HW-PC-10004,128,373,414,87
INV-600120,2024-03-01,FAC-001,HW-PC-10004,108,344,388,64
INV-600121,2024-04-01,FAC-001,HW-PC-10004,110,373,455,28
INV-600122,2024-05-01,FAC-001,HW-PC-10004,92,370,352,110
INV-600123,2024-06-01,FAC-001,HW-PC-10004,59,290,268,81
INV-600124,2024-07-01,FAC-001,HW-PC-10004,64,295,292,67
INV-600125,2024-08-01,FAC-001,HW-PC-10004,63,309,339,33
INV-600126,2024-09-01,FAC-001,HW-PC-10004,98,431,470,59
INV-600127,2024-10-01,FAC-001,HW-PC-10004,200,479,609,70
INV-600128,2024-11-01,FAC-001,HW-PC-10004,97,360,358,99
INV-600129,2024-12-01,FAC-001,HW-PC-10004,142,354,470,26
INV-600130,2025-01-01,FAC-001,HW-PC-10004,94,321,375,40
INV-600131,2025-02-01,FAC-001,HW-PC-10004,135,314,413,36
INV-600132,2025-03-01,FAC-001,HW-PC-10004,124,322,401,45
INV-600133,2025-04-01,FAC-001,HW-PC-10004,123,290,351,62
INV-600134,2025-05-01,FAC-001,HW-PC-10004,101,362,430,33
INV-600135,2025-06-01,FAC-001,HW-PC-10004,64,319,356,27
INV-600136,2025-07-01,FAC-001,HW-PC-10004,68,246,295,19
INV-600137,2025-08-01,FAC-001,HW-PC-10004,109,318,374,53
INV-600138,2025-09-01,FAC-001,HW-PC-10004,124,454,471,107
INV-600139,2025-10-01,FAC-001,HW-PC-10004,188,485,611,62
INV-600140,2025-11-01,FAC-001,HW-PC-10004,79,358,370,67
INV-600141,2025-12-01,FAC-001,HW-PC-10004,96,286,320,62
INV-600142,2026-01-01,FAC-001,HW-PC-10004,105,368,365,108
INV-600143,2026-02-01,FAC-001,HW-PC-10004,114,294,356,52
INV-600144,2026-03-01,FAC-001,HW-PC-10004,64,290,315,39
INV-600145,2023-04-01,FAC-001,HW-PC-10005,135,361,380,116
INV-600146,2023-05-01,FAC-001,HW-PC-10005,128,288,343,73
INV-600147,2023-06-01,FAC-001,HW-PC-10005,127,317,417,27
INV-600148,2023-07-01,FAC-001,HW-PC-10005,124,321,367,78
INV-600149,2023-08-01,FAC-001,HW-PC-10005,96,245,293,48
INV-600150,2023-09-01,FAC-001,HW-PC-10005,192,451,496,147
INV-600151,2023-10-01,FAC-001,HW-PC-10005,93,460,466,87
INV-600152,2023-11-01,FAC-001,HW-PC-10005,65,286,271,80
INV-600153,2023-12-01,FAC-001,HW-PC-10005,132,344,412,64
INV-600154,2024-01-01,FAC-001,HW-PC-10005,110,375,391,94
INV-600155,2024-02-01,FAC-001,HW-PC-10005,93,366,432,27
INV-600156,2024-03-01,FAC-001,HW-PC-10005,124,281,307,98
INV-600157,2024-04-01,FAC-001,HW-PC-10005,122,368,464,26
INV-600158,2024-05-01,FAC-001,HW-PC-10005,97,287,362,22
INV-600159,2024-06-01,FAC-001,HW-PC-10005,118,332,400,50
INV-600160,2024-07-01,FAC-001,HW-PC-10005,98,276,324,50
INV-600161,2024-08-01,FAC-001,HW-PC-10005,66,314,306,74
INV-600162,2024-09-01,FAC-001,HW-PC-10005,221,524,626,119
INV-600163,2024-10-01,FAC-001,HW-PC-10005,128,478,477,129
INV-600164,2024-11-01,FAC-001,HW-PC-10005,93,326,363,56
INV-600165,2024-12-01,FAC-001,HW-PC-10005,127,288,393,22
INV-600166,2025-01-01,FAC-001,HW-PC-10005,116,349,377,88
INV-600167,2025-02-01,FAC-001,HW-PC-10005,133,361,386,108
INV-600168,2025-03-01,FAC-001,HW-PC-10005,150,370,488,32
INV-600169,2025-04-01,FAC-001,HW-PC-10005,124,352,396,80
INV-600170,2025-05-01,FAC-001,HW-PC-10005,154,372,399,127
INV-600171,2025-06-01,FAC-001,HW-PC-10005,83,283,333,33
INV-600172,2025-07-01,FAC-001,HW-PC-10005,76,321,344,53
INV-600173,2025-08-01,FAC-001,HW-PC-10005,119,270,357,32
INV-600174,2025-09-01,FAC-001,HW-PC-10005,161,508,557,112
INV-600175,2025-10-01,FAC-001,HW-PC-10005,92,430,481,41
INV-600176,2025-11-01,FAC-001,HW-PC-10005,161,360,494,27
INV-600177,2025-12-01,FAC-001,HW-PC-10005,131,335,437,29
INV-600178,2026-01-01,FAC-001,HW-PC-10005,95,364,385,74
INV-600179,2026-02-01,FAC-001,HW-PC-10005,128,293,366,55
INV-600180,2026-03-01,FAC-001,HW-PC-10005,111,303,361,53
INV-600181,2023-04-01,FAC-001,HW-PC-10006,107,291,339,59
INV-600182,2023-05-01,FAC-001,HW-PC-10006,117,356,435,38
INV-600183,2023-06-01,FAC-001,HW-PC-10006,113,335,414,34
INV-600184,2023-07-01,FAC-001,HW-PC-10006,63,272,253,82
INV-600185,2023-08-01,FAC-001,HW-PC-10006,106,301,362,45
INV-600186,2023-09-01,FAC-001,HW-PC-10006,98,422,391,129
INV-600187,2023-10-01,FAC-001,HW-PC-10006,153,441,492,102
INV-600188,2023-11-01,FAC-001,HW-PC-10006,137,323,377,83
INV-600189,2023-12-01,FAC-001,HW-PC-10006,131,331,383,79
INV-600190,2024-01-01,FAC-001,HW-PC-10006,142,342,454,30
INV-600191,2024-02-01,FAC-001,HW-PC-10006,127,295,358,64
INV-600192,2024-03-01,FAC-001,HW-PC-10006,96,306,380,22
INV-600193,2024-04-01,FAC-001,HW-PC-10006,92,329,369,52
INV-600194,2024-05-01,FAC-001,HW-PC-10006,66,304,287,83
INV-600195,2024-06-01,FAC-001,HW-PC-10006,69,293,281,81
INV-600196,2024-07-01,FAC-001,HW-PC-10006,71,292,297,66
INV-600197,2024-08-01,FAC-001,HW-PC-10006,99,313,364,48
INV-600198,2024-09-01,FAC-001,HW-PC-10006,103,416,393,126
INV-600199,2024-10-01,FAC-001,HW-PC-10006,112,416,414,114
INV-600200,2024-11-01,FAC-001,HW-PC-10006,66,289,298,57
INV-600201,2024-12-01,FAC-001,HW-PC-10006,87,300,329,58
INV-600202,2025-01-01,FAC-001,HW-PC-10006,73,348,383,38
INV-600203,2025-02-01,FAC-001,HW-PC-10006,75,342,385,32
INV-600204,2025-03-01,FAC-001,HW-PC-10006,79,371,362,88
INV-600205,2025-04-01,FAC-001,HW-PC-10006,139,360,392,107
INV-600206,2025-05-01,FAC-001,HW-PC-10006,88,301,329,60
INV-600207,2025-06-01,FAC-001,HW-PC-10006,99,341,370,70
INV-600208,2025-07-01,FAC-001,HW-PC-10006,62,301,290,73
INV-600209,2025-08-01,FAC-001,HW-PC-10006,126,298,361,63
INV-600210,2025-09-01,FAC-001,HW-PC-10006,105,466,479,92
INV-600211,2025-10-01,FAC-001,HW-PC-10006,121,466,471,116
INV-600212,2025-11-01,FAC-001,HW-PC-10006,64,317,310,71
INV-600213,2025-12-01,FAC-001,HW-PC-10006,84,301,297,88
INV-600214,2026-01-01,FAC-001,HW-PC-10006,128,368,439,57
INV-600215,2026-02-01,FAC-001,HW-PC-10006,116,358,363,111
INV-600216,2026-03-01,FAC-001,HW-PC-10006,115,333,402,46
INV-600217,2023-04-01,FAC-001,HW-PC-10007,79,293,306,66
INV-600218,2023-05-01,FAC-001,HW-PC-10007,117,344,378,83
INV-600219,2023-06-01,FAC-001,HW-PC-10007,132,378,406,104
INV-600220,2023-07-01,FAC-001,HW-PC-10007,58,246,242,62
INV-600221,2023-08-01,FAC-001,HW-PC-10007,61,251,251,61
INV-600222,2023-09-01,FAC-001,HW-PC-10007,176,416,453,139
INV-600223,2023-10-01,FAC-001,HW-PC-10007,140,465,572,33
INV-600224,2023-11-01,FAC-001,HW-PC-10007,87,291,356,22
INV-600225,2023-12-01,FAC-001,HW-PC-10007,147,366,411,102
INV-600226,2024-01-01,FAC-001,HW-PC-10007,109,297,379,27
INV-600227,2024-02-01,FAC-001,HW-PC-10007,114,335,361,88
INV-600228,2024-03-01,FAC-001,HW-PC-10007,87,356,360,83
INV-600229,2024-04-01,FAC-001,HW-PC-10007,105,322,340,87
INV-600230,2024-05-01,FAC-001,HW-PC-10007,102,291,317,76
INV-600231,2024-06-01,FAC-001,HW-PC-10007,80,338,353,65
INV-600232,2024-07-01,FAC-001,HW-PC-10007,60,283,280,63
INV-600233,2024-08-01,FAC-001,HW-PC-10007,53,249,286,16
INV-600234,2024-09-01,FAC-001,HW-PC-10007,175,437,490,122
INV-600235,2024-10-01,FAC-001,HW-PC-10007,189,487,587,89
INV-600236,2024-11-01,FAC-001,HW-PC-10007,99,327,349,77
INV-600237,2024-12-01,FAC-001,HW-PC-10007,151,372,493,30
INV-600238,2025-01-01,FAC-001,HW-PC-10007,111,292,377,26
INV-600239,2025-02-01,FAC-001,HW-PC-10007,64,298,325,37
INV-600240,2025-03-01,FAC-001,HW-PC-10007,138,337,369,106
INV-600241,2025-04-01,FAC-001,HW-PC-10007,89,359,350,98
INV-600242,2025-05-01,FAC-001,HW-PC-10007,119,296,366,49
INV-600243,2025-06-01,FAC-001,HW-PC-10007,96,332,396,32
INV-600244,2025-07-01,FAC-001,HW-PC-10007,109,271,318,62
INV-600245,2025-08-01,FAC-001,HW-PC-10007,85,270,287,68
INV-600246,2025-09-01,FAC-001,HW-PC-10007,161,496,523,134
INV-600247,2025-10-01,FAC-001,HW-PC-10007,153,517,575,95
INV-600248,2025-11-01,FAC-001,HW-PC-10007,131,370,387,114
INV-600249,2025-12-01,FAC-001,HW-PC-10007,133,373,413,93
INV-600250,2026-01-01,FAC-001,HW-PC-10007,117,294,359,52
INV-600251,2026-02-01,FAC-001,HW-PC-10007,141,333,430,44
INV-600252,2026-03-01,FAC-001,HW-PC-10007,81,295,300,76
INV-600253,2023-04-01,FAC-001,HW-PC-10008,96,283,342,37
INV-600254,2023-05-01,FAC-001,HW-PC-10008,104,367,430,41
INV-600255,2023-06-01,FAC-001,HW-PC-10008,119,291,317,93
INV-600256,2023-07-01,FAC-001,HW-PC-10008,108,271,295,84
INV-600257,2023-08-01,FAC-001,HW-PC-10008,97,257,316,38
INV-600258,2023-09-01,FAC-001,HW-PC-10008,179,481,566,94
INV-600259,2023-10-01,FAC-001,HW-PC-10008,122,427,431,118
INV-600260,2023-11-01,FAC-001,HW-PC-10008,127,370,412,85
INV-600261,2023-12-01,FAC-001,HW-PC-10008,142,326,365,103
INV-600262,2024-01-01,FAC-001,HW-PC-10008,110,338,390,58
INV-600263,2024-02-01,FAC-001,HW-PC-10008,117,282,373,26
INV-600264,2024-03-01,FAC-001,HW-PC-10008,125,336,430,31
INV-600265,2024-04-01,FAC-001,HW-PC-10008,83,350,374,59
INV-600266,2024-05-01,FAC-001,HW-PC-10008,104,340,398,46
INV-600267,2024-06-01,FAC-001,HW-PC-10008,160,373,447,86
INV-600268,2024-07-01,FAC-001,HW-PC-10008,110,247,327,30
INV-600269,2024-08-01,FAC-001,HW-PC-10008,106,248,327,27
INV-600270,2024-09-01,FAC-001,HW-PC-10008,161,464,518,107
INV-600271,2024-10-01,FAC-001,HW-PC-10008,113,400,467,46
INV-600272,2024-11-01,FAC-001,HW-PC-10008,79,280,297,62
INV-600273,2024-12-01,FAC-001,HW-PC-10008,143,333,389,87
INV-600274,2025-01-01,FAC-001,HW-PC-10008,120,314,364,70
INV-600275,2025-02-01,FAC-001,HW-PC-10008,94,302,308,88
INV-600276,2025-03-01,FAC-001,HW-PC-10008,96,297,327,66
INV-600277,2025-04-01,FAC-001,HW-PC-10008,107,371,414,64
INV-600278,2025-05-01,FAC-001,HW-PC-10008,69,343,363,49
INV-600279,2025-06-01,FAC-001,HW-PC-10008,131,298,334,95
INV-600280,2025-07-01,FAC-001,HW-PC-10008,60,273,316,17
INV-600281,2025-08-01,FAC-001,HW-PC-10008,97,280,287,90
INV-600282,2025-09-01,FAC-001,HW-PC-10008,125,496,577,44
INV-600283,2025-10-01,FAC-001,HW-PC-10008,104,421,397,128
INV-600284,2025-11-01,FAC-001,HW-PC-10008,111,327,334,104
INV-600285,2025-12-01,FAC-001,HW-PC-10008,111,357,400,68
INV-600286,2026-01-01,FAC-001,HW-PC-10008,97,324,362,59
INV-600287,2026-02-01,FAC-001,HW-PC-10008,72,295,338,29
INV-600288,2026-03-01,FAC-001,HW-PC-10008,109,374,388,95
INV-600289,2023-04-01,FAC-001,HW-PC-10009,66,320,301,85
INV-600290,2023-05-01,FAC-001,HW-PC-10009,128,351,361,118
INV-600291,2023-06-01,FAC-001,HW-PC-10009,77,302,335,44
INV-600292,2023-07-01,FAC-001,HW-PC-10009,54,240,267,27
INV-600293,2023-08-01,FAC-001,HW-PC-10009,91,253,274,70
INV-600294,2023-09-01,FAC-001,HW-PC-10009,105,406,457,54
INV-600295,2023-10-01,FAC-001,HW-PC-10009,208,511,596,123
INV-600296,2023-11-01,FAC-001,HW-PC-10009,86,346,349,83
INV-600297,2023-12-01,FAC-001,HW-PC-10009,74,369,339,104
INV-600298,2024-01-01,FAC-001,HW-PC-10009,62,301,285,78
INV-600299,2024-02-01,FAC-001,HW-PC-10009,103,338,409,32
INV-600300,2024-03-01,FAC-001,HW-PC-10009,103,361,372,92
INV-600301,2024-04-01,FAC-001,HW-PC-10009,110,318,343,85
INV-600302,2024-05-01,FAC-001,HW-PC-10009,103,342,382,63
INV-600303,2024-06-01,FAC-001,HW-PC-10009,88,323,386,25
INV-600304,2024-07-01,FAC-001,HW-PC-10009,70,302,343,29
INV-600305,2024-08-01,FAC-001,HW-PC-10009,118,279,361,36
INV-600306,2024-09-01,FAC-001,HW-PC-10009,92,451,436,107
INV-600307,2024-10-01,FAC-001,HW-PC-10009,167,467,508,126
INV-600308,2024-11-01,FAC-001,HW-PC-10009,120,294,392,22
INV-600309,2024-12-01,FAC-001,HW-PC-10009,80,332,331,81
INV-600310,2025-01-01,FAC-001,HW-PC-10009,120,282,310,92
INV-600311,2025-02-01,FAC-001,HW-PC-10009,90,337,367,60
INV-600312,2025-03-01,FAC-001,HW-PC-10009,140,344,382,102
INV-600313,2025-04-01,FAC-001,HW-PC-10009,65,281,321,25
INV-600314,2025-05-01,FAC-001,HW-PC-10009,128,367,430,65
INV-600315,2025-06-01,FAC-001,HW-PC-10009,84,346,401,29
INV-600316,2025-07-01,FAC-001,HW-PC-10009,80,273,301,52
INV-600317,2025-08-01,FAC-001,HW-PC-10009,58,242,269,31
INV-600318,2025-09-01,FAC-001,HW-PC-10009,141,404,435,110
INV-600319,2025-10-01,FAC-001,HW-PC-10009,121,446,465,102
INV-600320,2025-11-01,FAC-001,HW-PC-10009,96,351,385,62
INV-600321,2025-12-01,FAC-001,HW-PC-10009,119,327,418,28
INV-600322,2026-01-01,FAC-001,HW-PC-10009,89,353,334,108
INV-600323,2026-02-01,FAC-001,HW-PC-10009,106,306,313,99
INV-600324,2026-03-01,FAC-001,HW-PC-10009,114,329,361,82
INV-600325,2023-04-01,FAC-001,HW-PC-10010,63,291,317,37
INV-600326,2023-05-01,FAC-001,HW-PC-10010,122,329,377,74
INV-600327,2023-06-01,FAC-001,HW-PC-10010,123,304,388,39
INV-600328,2023-07-01,FAC-001,HW-PC-10010,79,296,325,50
INV-600329,2023-08-01,FAC-001,HW-PC-10010,59,268,305,22
INV-600330,2023-09-01,FAC-001,HW-PC-10010,179,411,495,95
INV-600331,2023-10-01,FAC-001,HW-PC-10010,140,418,515,43
INV-600332,2023-11-01,FAC-001,HW-PC-10010,141,352,434,59
INV-600333,2023-12-01,FAC-001,HW-PC-10010,143,349,393,99
INV-600334,2024-01-01,FAC-001,HW-PC-10010,83,328,389,22
INV-600335,2024-02-01,FAC-001,HW-PC-10010,78,373,401,50
INV-600336,2024-03-01,FAC-001,HW-PC-10010,91,372,399,64
INV-600337,2024-04-01,FAC-001,HW-PC-10010,77,371,398,50
INV-600338,2024-05-01,FAC-001,HW-PC-10010,133,309,417,25
INV-600339,2024-06-01,FAC-001,HW-PC-10010,118,373,452,39
INV-600340,2024-07-01,FAC-001,HW-PC-10010,86,309,361,34
INV-600341,2024-08-01,FAC-001,HW-PC-10010,84,241,258,67
INV-600342,2024-09-01,FAC-001,HW-PC-10010,89,409,442,56
INV-600343,2024-10-01,FAC-001,HW-PC-10010,167,439,462,144
INV-600344,2024-11-01,FAC-001,HW-PC-10010,104,311,376,39
INV-600345,2024-12-01,FAC-001,HW-PC-10010,111,312,392,31
INV-600346,2025-01-01,FAC-001,HW-PC-10010,88,341,323,106
INV-600347,2025-02-01,FAC-001,HW-PC-10010,75,366,407,34
INV-600348,2025-03-01,FAC-001,HW-PC-10010,144,332,433,43
INV-600349,2025-04-01,FAC-001,HW-PC-10010,109,379,440,48
INV-600350,2025-05-01,FAC-001,HW-PC-10010,102,320,369,53
INV-600351,2025-06-01,FAC-001,HW-PC-10010,163,366,478,51
INV-600352,2025-07-01,FAC-001,HW-PC-10010,83,273,319,37
INV-600353,2025-08-01,FAC-001,HW-PC-10010,58,258,259,57
INV-600354,2025-09-01,FAC-001,HW-PC-10010,118,432,438,112
INV-600355,2025-10-01,FAC-001,HW-PC-10010,81,398,453,26
INV-600356,2025-11-01,FAC-001,HW-PC-10010,95,322,369,48
INV-600357,2025-12-01,FAC-001,HW-PC-10010,132,302,393,41
INV-600358,2026-01-01,FAC-001,HW-PC-10010,87,289,348,28
INV-600359,2026-02-01,FAC-001,HW-PC-10010,118,374,429,63
INV-600360,2026-03-01,FAC-001,HW-PC-10010,132,297,341,88
INV-600361,2023-04-01,FAC-001,HW-PC-10011,66,189,217,38
INV-600362,2023-05-01,FAC-001,HW-PC-10011,40,166,163,43
INV-600363,2023-06-01,FAC-001,HW-PC-10011,64,163,186,41
INV-600364,2023-07-01,FAC-001,HW-PC-10011,58,133,177,14
INV-600365,2023-08-01,FAC-001,HW-PC-10011,77,173,196,54
INV-600366,2023-09-01,FAC-001,HW-PC-10011,95,245,302,38
INV-600367,2023-10-01,FAC-001,HW-PC-10011,91,227,252,66
INV-600368,2023-11-01,FAC-001,HW-PC-10011,55,166,191,30
INV-600369,2023-12-01,FAC-001,HW-PC-10011,41,185,209,17
INV-600370,2024-01-01,FAC-001,HW-PC-10011,39,168,192,15
INV-600371,2024-02-01,FAC-001,HW-PC-10011,85,205,264,26
INV-600372,2024-03-01,FAC-001,HW-PC-10011,63,189,193,59
INV-600373,2024-04-01,FAC-001,HW-PC-10011,51,176,182,45
INV-600374,2024-05-01,FAC-001,HW-PC-10011,62,193,195,60
INV-600375,2024-06-01,FAC-001,HW-PC-10011,61,165,172,54
INV-600376,2024-07-01,FAC-001,HW-PC-10011,55,170,190,35
INV-600377,2024-08-01,FAC-001,HW-PC-10011,64,158,181,41
INV-600378,2024-09-01,FAC-001,HW-PC-10011,90,266,286,70
INV-600379,2024-10-01,FAC-001,HW-PC-10011,112,282,347,47
INV-600380,2024-11-01,FAC-001,HW-PC-10011,83,200,252,31
INV-600381,2024-12-01,FAC-001,HW-PC-10011,74,199,241,32
INV-600382,2025-01-01,FAC-001,HW-PC-10011,72,187,202,57
INV-600383,2025-02-01,FAC-001,HW-PC-10011,84,201,215,70
INV-600384,2025-03-01,FAC-001,HW-PC-10011,45,198,198,45
INV-600385,2025-04-01,FAC-001,HW-PC-10011,46,194,219,21
INV-600386,2025-05-01,FAC-001,HW-PC-10011,65,199,198,66
