dealer_id,dealer_name,city_id,city_name,state_code,state_name,region,tier,channel,is_urban,monthly_capacity_units,years_active,onboarded_date,latitude,longitude,credit_limit_inr,is_active
DLR-100135,Karnal C799 Distributors,CITY-1079,Karnal,HR,Haryana,North,C,Retail Store,False,357,4,2021-06-17,29.7184,76.9881,599012,True
DLR-100136,Faridabad A455 Distributors,CITY-1077,Faridabad,HR,Haryana,North,A,Institutional/B2B,True,3634,19,2007-04-06,28.4472,77.2919,6152852,True
DLR-100137,Panipat B451 Distributors,CITY-1078,Panipat,HR,Haryana,North,B,Retail Store,False,887,6,2019-07-02,29.3955,76.9819,1287014,True
DLR-100138,Faridabad A916 Distributors,CITY-1077,Faridabad,HR,Haryana,North,A,Multi-Brand Outlet,True,2254,10,2016-01-26,28.4018,77.2904,4151703,True
DLR-100139,Gurugram C661 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Retail Store,True,553,5,2021-04-23,28.4835,77.0568,1017762,True
DLR-100140,Ambala B854 Distributors,CITY-1081,Ambala,HR,Haryana,North,B,Retail Store,False,716,5,2020-09-11,30.4073,76.8201,1081747,True
DLR-100141,Gurugram B199 Distributors,CITY-1076,Gurugram,HR,Haryana,North,B,Retail Store,True,836,5,2021-03-18,28.4936,77.0036,1580741,True
DLR-100142,Gurugram B927 Distributors,CITY-1076,Gurugram,HR,Haryana,North,B,Retail Store,True,933,5,2020-07-08,28.4954,77.0292,1199861,True
DLR-100143,Panipat C165 Distributors,CITY-1078,Panipat,HR,Haryana,North,C,Online Marketplace,False,233,2,2023-09-08,29.3564,76.9491,426292,False
DLR-100144,Gurugram C729 Distributors,CITY-1076,Gurugram,HR,Haryana,North,C,Multi-Brand Outlet,True,589,4,2021-06-30,28.4337,77.0035,591184,True
DLR-100145,Shimla C260 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Retail Store,False,434,1,2024-12-28,31.0725,77.138,611367,True
DLR-100146,Dharamshala A322 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,A,Multi-Brand Outlet,False,3789,18,2007-12-26,32.2652,76.3339,4187108,True
DLR-100147,Shimla B845 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,B,Retail Store,False,893,7,2018-11-28,31.053,77.1508,1499774,True
DLR-100148,Shimla A901 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,A,Retail Store,False,2514,15,2010-11-24,31.0944,77.2068,4007212,True
DLR-100149,Dharamshala B939 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,B,Retail Store,False,1013,5,2020-12-03,32.2531,76.3565,1777422,True
DLR-100150,Dharamshala C803 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,C,Retail Store,False,436,5,2020-06-27,32.2351,76.2807,374024,True
DLR-100151,Shimla B709 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,B,Retail Store,False,1287,16,2010-02-16,31.059,77.1489,1653754,True
DLR-100152,Shimla C921 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Retail Store,False,231,9,2016-07-23,31.0936,77.2018,364723,True
DLR-100153,Shimla C390 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Retail Store,False,348,5,2020-06-15,31.1048,77.1796,373307,True
DLR-100154,Dharamshala C553 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,C,Retail Store,False,259,2,2023-08-05,32.208,76.3563,491344,True
DLR-100155,Dharamshala A442 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,A,Retail Store,False,2656,9,2016-06-28,32.228,76.3234,4715948,True
DLR-100156,Shimla C892 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Multi-Brand Outlet,False,170,7,2019-01-11,31.0508,77.1847,269557,True
DLR-100157,Dharamshala A663 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,A,Retail Store,False,1640,29,1996-08-01,32.1801,76.3186,2630748,True
DLR-100158,Dharamshala C444 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,C,Retail Store,False,285,4,2021-11-20,32.2416,76.2973,406688,True
DLR-100159,Dharamshala C183 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,C,Multi-Brand Outlet,False,188,7,2018-06-20,32.2493,76.2885,259487,True
DLR-100160,Dharamshala C882 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,C,Multi-Brand Outlet,False,525,7,2018-12-31,32.2215,76.3294,804918,True
DLR-100161,Shimla C763 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Retail Store,False,221,8,2017-10-02,31.1057,77.1456,394957,True
DLR-100162,Shimla C660 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,C,Retail Store,False,295,3,2022-11-14,31.065,77.1624,496853,True
DLR-100163,Shimla B689 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,B,Retail Store,False,1261,8,2017-12-06,31.073,77.1406,1965165,True
DLR-100164,Shimla A266 Distributors,CITY-1109,Shimla,HP,Himachal Pradesh,North,A,Retail Store,False,2843,10,2015-08-09,31.1195,77.1604,4746161,False
DLR-100165,Dharamshala B135 Distributors,CITY-1110,Dharamshala,HP,Himachal Pradesh,North,B,Retail Store,False,901,6,2020-02-19,32.2424,76.3278,813413,True
DLR-100166,Dehradun B747 Distributors,CITY-1111,Dehradun,UK,Uttarakhand,North,B,Retail Store,True,807,13,2012-11-22,30.315,78.0556,1415913,True
DLR-100167,Dehradun B420 Distributors,CITY-1111,Dehradun,UK,Uttarakhand,North,B,Retail Store,True,947,6,2020-01-14,30.272,78.0537,1714486,True
DLR-100168,Dehradun C903 Distributors,CITY-1111,Dehradun,UK,Uttarakhand,North,C,Retail Store,True,380,1,2024-07-28,30.3207,77.9959,442226,True
DLR-100169,Dehradun B506 Distributors,CITY-1111,Dehradun,UK,Uttarakhand,North,B,Retail Store,True,940,5,2020-08-21,30.3254,78.0106,1815012,True
