request_id,request_date,centre_id,product_id,issue_type,severity,status,resolution_days,is_under_warranty,cost_inr
SVC-REQ-700017,2026-02-17,SVC-50079,HW-PC-10042,Safety Valve Issue,Critical,Resolved,6.0,True,0
SVC-REQ-700018,2024-04-09,SVC-50119,HW-PC-10023,Safety Valve Issue,Critical,Escalated,5.0,True,0
SVC-REQ-700019,2025-05-03,SVC-50131,HW-PC-10072,Pressure Loss,Critical,Resolved,6.0,True,0
SVC-REQ-700020,2025-08-29,SVC-50111,HW-PC-10002,Gasket Replacement,Routine,Resolved,6.0,False,150
SVC-REQ-700021,2024-01-21,SVC-50056,HW-PC-10044,Safety Valve Issue,Critical,Resolved,6.0,True,0
SVC-REQ-700022,2025-06-20,SVC-50111,HW-PC-10039,Vent Weight Lost,Routine,Escalated,3.0,True,0
SVC-REQ-700023,2025-09-24,SVC-50073,HW-PC-10043,Gasket Replacement,Routine,Escalated,4.0,True,0
SVC-REQ-700024,2023-12-10,SVC-50026,HW-PC-10020,Vent Weight Lost,Routine,Resolved,3.0,False,250
SVC-REQ-700025,2026-03-22,SVC-50018,HW-PC-10018,Vent Weight Lost,Routine,Resolved,6.0,True,0
SVC-REQ-700026,2023-04-25,SVC-50072,HW-PC-10063,Safety Valve Issue,Critical,Pending,,True,0
SVC-REQ-700027,2023-11-18,SVC-50015,HW-PC-10007,Lid Stuck,Critical,Resolved,8.0,True,0
SVC-REQ-700028,2025-07-24,SVC-50046,HW-PC-10015,Safety Valve Issue,Critical,Resolved,11.0,True,0
SVC-REQ-700029,2023-10-28,SVC-50022,HW-PC-10007,Lid Stuck,Critical,Resolved,7.0,True,0
SVC-REQ-700030,2025-05-05,SVC-50046,HW-PC-10006,Pressure Loss,Critical,Resolved,6.0,True,0
SVC-REQ-700031,2025-10-21,SVC-50004,HW-PC-10019,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700032,2026-02-07,SVC-50021,HW-PC-10068,Handle Damage,Routine,Pending,,False,150
SVC-REQ-700033,2024-08-25,SVC-50046,HW-PC-10068,Pressure Loss,Critical,Resolved,10.0,True,0
SVC-REQ-700034,2026-02-24,SVC-50089,HW-PC-10041,Handle Damage,Routine,Resolved,10.0,False,250
SVC-REQ-700035,2024-06-17,SVC-50023,HW-PC-10025,Gasket Replacement,Routine,Resolved,4.0,False,250
SVC-REQ-700036,2023-11-19,SVC-50017,HW-PC-10034,Lid Stuck,Critical,Resolved,8.0,True,0
SVC-REQ-700037,2024-10-11,SVC-50096,HW-PC-10039,Handle Damage,Routine,Resolved,4.0,False,450
SVC-REQ-700038,2025-03-11,SVC-50066,HW-PC-10025,Manufacturing Defect,Critical,Resolved,9.0,False,450
SVC-REQ-700039,2024-08-06,SVC-50129,HW-PC-10028,Gasket Replacement,Routine,Resolved,4.0,False,250
SVC-REQ-700040,2024-12-03,SVC-50035,HW-PC-10058,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700041,2024-06-21,SVC-50060,HW-PC-10061,Pressure Loss,Critical,Resolved,5.0,True,0
SVC-REQ-700042,2024-10-24,SVC-50006,HW-PC-10027,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700043,2026-01-29,SVC-50118,HW-PC-10034,Vent Weight Lost,Routine,Resolved,6.0,False,150
SVC-REQ-700044,2024-09-24,SVC-50084,HW-PC-10007,Gasket Replacement,Routine,Resolved,2.0,False,250
SVC-REQ-700045,2023-12-21,SVC-50026,HW-PC-10018,Vent Weight Lost,Routine,Resolved,2.0,True,0
SVC-REQ-700046,2025-06-29,SVC-50074,HW-PC-10029,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700047,2024-04-05,SVC-50004,HW-PC-10021,Gasket Replacement,Routine,Resolved,7.0,True,0
SVC-REQ-700048,2025-09-04,SVC-50103,HW-PC-10055,Vent Weight Lost,Routine,Pending,,True,0
SVC-REQ-700049,2023-05-29,SVC-50009,HW-PC-10009,Handle Damage,Routine,Pending,,True,0
SVC-REQ-700050,2024-03-29,SVC-50069,HW-PC-10010,Pressure Loss,Critical,Resolved,9.0,False,1500
SVC-REQ-700051,2023-07-02,SVC-50009,HW-PC-10069,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700052,2023-06-24,SVC-50025,HW-PC-10005,Safety Valve Issue,Critical,Resolved,9.0,True,0
SVC-REQ-700053,2025-03-21,SVC-50040,HW-PC-10010,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700054,2024-05-24,SVC-50025,HW-PC-10052,Handle Damage,Routine,Resolved,5.0,False,800
SVC-REQ-700055,2025-11-07,SVC-50051,HW-PC-10027,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700056,2024-10-14,SVC-50121,HW-PC-10005,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700057,2024-02-12,SVC-50087,HW-PC-10039,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700058,2025-05-26,SVC-50053,HW-PC-10009,Safety Valve Issue,Critical,Resolved,9.0,True,0
SVC-REQ-700059,2025-02-05,SVC-50047,HW-PC-10008,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700060,2025-08-16,SVC-50061,HW-PC-10013,Pressure Loss,Critical,Resolved,7.0,True,0
SVC-REQ-700061,2025-03-03,SVC-50057,HW-PC-10018,Vent Weight Lost,Routine,Resolved,3.0,False,250
SVC-REQ-700062,2023-09-26,SVC-50077,HW-PC-10067,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700063,2025-04-04,SVC-50071,HW-PC-10026,Vent Weight Lost,Routine,Resolved,4.0,False,800
SVC-REQ-700064,2024-05-29,SVC-50115,HW-PC-10007,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700065,2024-08-12,SVC-50054,HW-PC-10071,Safety Valve Issue,Critical,Resolved,5.0,True,0
SVC-REQ-700066,2025-12-22,SVC-50065,HW-PC-10018,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700067,2024-05-01,SVC-50117,HW-PC-10070,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700068,2025-01-19,SVC-50041,HW-PC-10018,Handle Damage,Routine,Resolved,2.0,True,0
SVC-REQ-700069,2024-05-04,SVC-50129,HW-PC-10004,Gasket Replacement,Routine,Resolved,6.0,False,800
SVC-REQ-700070,2023-07-03,SVC-50052,HW-PC-10039,Gasket Replacement,Routine,Resolved,3.0,False,250
SVC-REQ-700071,2024-08-01,SVC-50081,HW-PC-10069,Vent Weight Lost,Routine,Resolved,6.0,True,0
SVC-REQ-700072,2024-12-30,SVC-50071,HW-PC-10045,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700073,2024-06-13,SVC-50021,HW-PC-10002,Handle Damage,Routine,Resolved,6.0,True,0
SVC-REQ-700074,2024-05-29,SVC-50130,HW-PC-10011,Manufacturing Defect,Critical,Resolved,7.0,True,0
SVC-REQ-700075,2025-09-09,SVC-50069,HW-PC-10033,Pressure Loss,Critical,Resolved,9.0,True,0
SVC-REQ-700076,2023-05-04,SVC-50005,HW-PC-10001,Body Dent,Cosmetic,Resolved,6.0,True,0
SVC-REQ-700077,2024-02-13,SVC-50073,HW-PC-10028,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700078,2025-08-30,SVC-50019,HW-PC-10058,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700079,2025-12-21,SVC-50006,HW-PC-10073,Body Dent,Cosmetic,Resolved,4.0,True,0
SVC-REQ-700080,2024-06-17,SVC-50063,HW-PC-10028,Pressure Loss,Critical,Resolved,6.0,True,0
SVC-REQ-700081,2025-11-22,SVC-50014,HW-PC-10043,Gasket Replacement,Routine,Escalated,3.0,True,0
SVC-REQ-700082,2023-11-02,SVC-50002,HW-PC-10007,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700083,2023-11-22,SVC-50018,HW-PC-10005,Safety Valve Issue,Critical,Resolved,6.0,True,0
SVC-REQ-700084,2025-10-10,SVC-50035,HW-PC-10039,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700085,2025-12-05,SVC-50082,HW-PC-10007,Gasket Replacement,Routine,Resolved,2.0,True,0
SVC-REQ-700086,2023-11-24,SVC-50083,HW-PC-10054,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700087,2023-05-31,SVC-50025,HW-PC-10044,Handle Damage,Routine,Pending,,False,150
SVC-REQ-700088,2023-06-28,SVC-50135,HW-PC-10018,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700089,2023-12-29,SVC-50131,HW-PC-10042,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700090,2025-07-02,SVC-50057,HW-PC-10018,Gasket Replacement,Routine,Resolved,4.0,False,250
SVC-REQ-700091,2024-10-06,SVC-50054,HW-PC-10037,Lid Stuck,Critical,Resolved,6.0,True,0
SVC-REQ-700092,2024-08-03,SVC-50016,HW-PC-10041,Safety Valve Issue,Critical,Pending,,False,150
SVC-REQ-700093,2024-12-18,SVC-50133,HW-PC-10046,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700094,2025-11-24,SVC-50061,HW-PC-10027,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700095,2023-06-28,SVC-50024,HW-PC-10018,Pressure Loss,Critical,Resolved,8.0,True,0
SVC-REQ-700096,2025-05-02,SVC-50128,HW-PC-10037,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700097,2025-12-27,SVC-50063,HW-PC-10024,Body Dent,Cosmetic,Resolved,5.0,False,250
SVC-REQ-700098,2023-11-15,SVC-50088,HW-PC-10003,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700099,2025-09-30,SVC-50125,HW-PC-10024,Lid Stuck,Critical,Resolved,6.0,True,0
SVC-REQ-700100,2025-05-05,SVC-50080,HW-PC-10017,Handle Damage,Routine,Resolved,7.0,False,250
SVC-REQ-700101,2023-04-18,SVC-50111,HW-PC-10003,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700102,2023-12-02,SVC-50028,HW-PC-10005,Gasket Replacement,Routine,Escalated,4.0,True,0
SVC-REQ-700103,2025-01-11,SVC-50124,HW-PC-10032,Gasket Replacement,Routine,Resolved,3.0,False,150
SVC-REQ-700104,2024-09-27,SVC-50123,HW-PC-10059,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700105,2024-10-28,SVC-50005,HW-PC-10023,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700106,2023-12-02,SVC-50015,HW-PC-10002,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700107,2025-04-09,SVC-50105,HW-PC-10061,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700108,2024-01-03,SVC-50049,HW-PC-10041,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700109,2024-05-28,SVC-50004,HW-PC-10068,Safety Valve Issue,Critical,Resolved,5.0,True,0
SVC-REQ-700110,2024-05-09,SVC-50014,HW-PC-10073,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700111,2025-04-06,SVC-50138,HW-PC-10061,Vent Weight Lost,Routine,Resolved,6.0,True,0
SVC-REQ-700112,2023-06-28,SVC-50087,HW-PC-10068,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700113,2023-11-08,SVC-50125,HW-PC-10055,Lid Stuck,Critical,Escalated,5.0,True,0
SVC-REQ-700114,2023-11-04,SVC-50101,HW-PC-10068,Body Dent,Cosmetic,Resolved,4.0,True,0
SVC-REQ-700115,2023-07-19,SVC-50044,HW-PC-10023,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700116,2023-11-10,SVC-50077,HW-PC-10069,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700117,2025-01-12,SVC-50128,HW-PC-10009,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700118,2025-06-05,SVC-50109,HW-PC-10005,Manufacturing Defect,Critical,Resolved,6.0,False,450
SVC-REQ-700119,2025-03-23,SVC-50065,HW-PC-10023,Safety Valve Issue,Critical,Resolved,10.0,True,0
SVC-REQ-700120,2024-08-26,SVC-50004,HW-PC-10011,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700121,2023-05-25,SVC-50126,HW-PC-10040,Safety Valve Issue,Critical,Resolved,8.0,True,0
SVC-REQ-700122,2026-02-07,SVC-50001,HW-PC-10059,Safety Valve Issue,Critical,Resolved,5.0,True,0
SVC-REQ-700123,2023-09-27,SVC-50124,HW-PC-10009,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700124,2025-04-02,SVC-50077,HW-PC-10003,Handle Damage,Routine,Pending,,True,0
SVC-REQ-700125,2025-12-14,SVC-50021,HW-PC-10036,Vent Weight Lost,Routine,Resolved,5.0,False,250
SVC-REQ-700126,2025-05-05,SVC-50079,HW-PC-10041,Gasket Replacement,Routine,Resolved,4.0,False,150
SVC-REQ-700127,2023-11-19,SVC-50041,HW-PC-10034,Body Dent,Cosmetic,Resolved,5.0,True,0
SVC-REQ-700128,2024-03-10,SVC-50010,HW-PC-10044,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700129,2023-05-05,SVC-50117,HW-PC-10003,Safety Valve Issue,Critical,Pending,,True,0
SVC-REQ-700130,2025-01-20,SVC-50132,HW-PC-10043,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700131,2025-01-20,SVC-50024,HW-PC-10026,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700132,2025-05-30,SVC-50019,HW-PC-10013,Manufacturing Defect,Critical,Resolved,7.0,True,0
SVC-REQ-700133,2023-04-13,SVC-50084,HW-PC-10021,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700134,2025-09-06,SVC-50116,HW-PC-10008,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700135,2025-06-11,SVC-50075,HW-PC-10001,Gasket Replacement,Routine,Escalated,5.0,False,150
SVC-REQ-700136,2023-08-26,SVC-50123,HW-PC-10008,Pressure Loss,Critical,Escalated,6.0,True,0
SVC-REQ-700137,2024-04-16,SVC-50087,HW-PC-10026,Pressure Loss,Critical,Resolved,6.0,False,1500
SVC-REQ-700138,2025-02-25,SVC-50079,HW-PC-10021,Lid Stuck,Critical,Resolved,9.0,True,0
SVC-REQ-700139,2024-09-20,SVC-50085,HW-PC-10071,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700140,2023-07-27,SVC-50100,HW-PC-10067,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700141,2023-06-26,SVC-50127,HW-PC-10010,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700142,2025-07-25,SVC-50032,HW-PC-10020,Vent Weight Lost,Routine,Resolved,4.0,True,0
SVC-REQ-700143,2023-09-13,SVC-50010,HW-PC-10071,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700144,2023-10-02,SVC-50059,HW-PC-10019,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700145,2025-09-22,SVC-50046,HW-PC-10072,Pressure Loss,Critical,Resolved,5.0,False,800
SVC-REQ-700146,2025-01-19,SVC-50101,HW-PC-10010,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700147,2025-01-09,SVC-50123,HW-PC-10036,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700148,2024-08-31,SVC-50032,HW-PC-10054,Gasket Replacement,Routine,Resolved,3.0,False,150
SVC-REQ-700149,2024-12-05,SVC-50084,HW-PC-10006,Gasket Replacement,Routine,Resolved,2.0,True,0
SVC-REQ-700150,2025-01-05,SVC-50039,HW-PC-10072,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700151,2026-02-19,SVC-50039,HW-PC-10044,Safety Valve Issue,Critical,Resolved,6.0,True,0
SVC-REQ-700152,2023-11-24,SVC-50060,HW-PC-10003,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700153,2023-11-16,SVC-50133,HW-PC-10003,Safety Valve Issue,Critical,Resolved,5.0,False,800
SVC-REQ-700154,2023-05-29,SVC-50081,HW-PC-10015,Gasket Replacement,Routine,Resolved,4.0,False,250
SVC-REQ-700155,2025-03-21,SVC-50026,HW-PC-10071,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700156,2024-11-17,SVC-50051,HW-PC-10061,Gasket Replacement,Routine,Resolved,4.0,False,150
SVC-REQ-700157,2023-07-22,SVC-50068,HW-PC-10052,Safety Valve Issue,Critical,Resolved,6.0,False,450
SVC-REQ-700158,2024-05-05,SVC-50102,HW-PC-10011,Body Dent,Cosmetic,Resolved,4.0,False,450
SVC-REQ-700159,2023-10-10,SVC-50110,HW-PC-10061,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700160,2024-03-28,SVC-50020,HW-PC-10029,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700161,2026-01-27,SVC-50071,HW-PC-10073,Gasket Replacement,Routine,Resolved,3.0,False,450
SVC-REQ-700162,2025-04-19,SVC-50067,HW-PC-10012,Gasket Replacement,Routine,Resolved,3.0,False,150
SVC-REQ-700163,2023-04-09,SVC-50050,HW-PC-10064,Lid Stuck,Critical,Resolved,7.0,True,0
SVC-REQ-700164,2023-12-21,SVC-50118,HW-PC-10003,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700165,2023-04-13,SVC-50016,HW-PC-10059,Handle Damage,Routine,Resolved,3.0,False,150
SVC-REQ-700166,2025-05-20,SVC-50116,HW-PC-10033,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700167,2024-08-20,SVC-50089,HW-PC-10023,Gasket Replacement,Routine,Escalated,3.0,False,150
SVC-REQ-700168,2026-03-23,SVC-50119,HW-PC-10009,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700169,2025-06-06,SVC-50115,HW-PC-10007,Gasket Replacement,Routine,Resolved,4.0,False,150
SVC-REQ-700170,2024-10-16,SVC-50130,HW-PC-10017,Vent Weight Lost,Routine,Pending,,True,0
SVC-REQ-700171,2025-08-22,SVC-50059,HW-PC-10007,Safety Valve Issue,Critical,Resolved,8.0,False,450
SVC-REQ-700172,2025-05-11,SVC-50041,HW-PC-10010,Safety Valve Issue,Critical,Resolved,5.0,True,0
SVC-REQ-700173,2023-12-13,SVC-50062,HW-PC-10072,Safety Valve Issue,Critical,Resolved,8.0,True,0
SVC-REQ-700174,2024-10-30,SVC-50084,HW-PC-10061,Gasket Replacement,Routine,Escalated,4.0,True,0
SVC-REQ-700175,2024-11-23,SVC-50130,HW-PC-10002,Gasket Replacement,Routine,Escalated,3.0,True,0
SVC-REQ-700176,2024-07-29,SVC-50007,HW-PC-10015,Gasket Replacement,Routine,Resolved,6.0,True,0
SVC-REQ-700177,2023-10-10,SVC-50126,HW-PC-10007,Lid Stuck,Critical,Resolved,7.0,True,0
SVC-REQ-700178,2023-11-24,SVC-50118,HW-PC-10008,Handle Damage,Routine,Resolved,6.0,True,0
SVC-REQ-700179,2024-01-23,SVC-50136,HW-PC-10007,Pressure Loss,Critical,Resolved,6.0,True,0
SVC-REQ-700180,2023-04-13,SVC-50003,HW-PC-10032,Lid Stuck,Critical,Resolved,5.0,True,0
SVC-REQ-700181,2025-12-18,SVC-50087,HW-PC-10008,Gasket Replacement,Routine,Resolved,7.0,True,0
SVC-REQ-700182,2025-04-22,SVC-50072,HW-PC-10074,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700183,2025-04-27,SVC-50033,HW-PC-10008,Safety Valve Issue,Critical,Resolved,8.0,True,0
SVC-REQ-700184,2024-12-08,SVC-50011,HW-PC-10063,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700185,2025-04-26,SVC-50097,HW-PC-10057,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700186,2026-03-09,SVC-50011,HW-PC-10071,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700187,2024-05-24,SVC-50107,HW-PC-10070,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700188,2025-05-18,SVC-50018,HW-PC-10027,Pressure Loss,Critical,Resolved,6.0,False,150
SVC-REQ-700189,2024-04-30,SVC-50092,HW-PC-10074,Pressure Loss,Critical,Escalated,7.0,True,0
SVC-REQ-700190,2025-10-19,SVC-50090,HW-PC-10068,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700191,2025-10-24,SVC-50094,HW-PC-10024,Pressure Loss,Critical,Resolved,7.0,False,800
SVC-REQ-700192,2025-12-05,SVC-50109,HW-PC-10023,Gasket Replacement,Routine,Pending,,False,250
SVC-REQ-700193,2023-04-07,SVC-50074,HW-PC-10050,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700194,2024-02-16,SVC-50003,HW-PC-10026,Safety Valve Issue,Critical,Resolved,8.0,True,0
SVC-REQ-700195,2023-08-18,SVC-50032,HW-PC-10067,Gasket Replacement,Routine,Resolved,5.0,True,0
SVC-REQ-700196,2024-08-01,SVC-50036,HW-PC-10005,Handle Damage,Routine,Pending,,True,0
SVC-REQ-700197,2024-09-19,SVC-50138,HW-PC-10070,Gasket Replacement,Routine,Resolved,3.0,False,150
SVC-REQ-700198,2023-12-24,SVC-50115,HW-PC-10072,Pressure Loss,Critical,Pending,,False,450
SVC-REQ-700199,2025-05-28,SVC-50055,HW-PC-10073,Manufacturing Defect,Critical,Resolved,7.0,True,0
SVC-REQ-700200,2024-01-08,SVC-50117,HW-PC-10043,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700201,2025-10-19,SVC-50025,HW-PC-10001,Gasket Replacement,Routine,Resolved,7.0,False,450
SVC-REQ-700202,2023-10-09,SVC-50008,HW-PC-10058,Handle Damage,Routine,Resolved,2.0,False,150
SVC-REQ-700203,2024-05-07,SVC-50053,HW-PC-10054,Vent Weight Lost,Routine,Resolved,5.0,False,250
SVC-REQ-700204,2025-02-02,SVC-50010,HW-PC-10007,Vent Weight Lost,Routine,Resolved,3.0,True,0
SVC-REQ-700205,2025-01-10,SVC-50078,HW-PC-10013,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700206,2023-06-17,SVC-50093,HW-PC-10009,Gasket Replacement,Routine,Resolved,4.0,False,150
SVC-REQ-700207,2025-10-10,SVC-50129,HW-PC-10068,Vent Weight Lost,Routine,Resolved,2.0,True,0
SVC-REQ-700208,2024-12-31,SVC-50020,HW-PC-10017,Gasket Replacement,Routine,Resolved,4.0,False,150
SVC-REQ-700209,2025-11-05,SVC-50048,HW-PC-10070,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700210,2025-11-03,SVC-50072,HW-PC-10018,Gasket Replacement,Routine,Resolved,3.0,True,0
SVC-REQ-700211,2024-11-14,SVC-50058,HW-PC-10018,Handle Damage,Routine,Resolved,6.0,True,0
SVC-REQ-700212,2025-12-12,SVC-50038,HW-PC-10016,Pressure Loss,Critical,Resolved,5.0,True,0
SVC-REQ-700213,2025-10-12,SVC-50088,HW-PC-10061,Lid Stuck,Critical,Resolved,8.0,False,250
SVC-REQ-700214,2026-02-06,SVC-50007,HW-PC-10009,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700215,2025-10-15,SVC-50020,HW-PC-10044,Vent Weight Lost,Routine,Resolved,5.0,True,0
SVC-REQ-700216,2025-09-10,SVC-50026,HW-PC-10004,Safety Valve Issue,Critical,Escalated,8.0,True,0
SVC-REQ-700217,2024-08-20,SVC-50089,HW-PC-10074,Body Dent,Cosmetic,Escalated,7.0,True,0
SVC-REQ-700218,2023-11-14,SVC-50084,HW-PC-10024,Gasket Replacement,Routine,Pending,,True,0
SVC-REQ-700219,2025-12-12,SVC-50056,HW-PC-10006,Handle Damage,Routine,Resolved,5.0,True,0
SVC-REQ-700220,2025-05-27,SVC-50062,HW-PC-10022,Handle Damage,Routine,Resolved,6.0,True,0
SVC-REQ-700221,2024-01-24,SVC-50128,HW-PC-10004,Vent Weight Lost,Routine,Resolved,5.0,True,0
SVC-REQ-700222,2024-04-09,SVC-50036,HW-PC-10043,Manufacturing Defect,Critical,Resolved,6.0,False,450
SVC-REQ-700223,2025-04-22,SVC-50020,HW-PC-10025,Gasket Replacement,Routine,Resolved,4.0,True,0
SVC-REQ-700224,2024-08-30,SVC-50027,HW-PC-10005,Safety Valve Issue,Critical,Resolved,6.0,True,0
SVC-REQ-700225,2023-06-20,SVC-50133,HW-PC-10037,Pressure Loss,Critical,Resolved,6.0,True,0
SVC-REQ-700226,2023-08-27,SVC-50095,HW-PC-10014,Handle Damage,Routine,Resolved,3.0,False,250
SVC-REQ-700227,2025-06-17,SVC-50041,HW-PC-10070,Safety Valve Issue,Critical,Resolved,5.0,True,0
SVC-REQ-700228,2024-03-25,SVC-50085,HW-PC-10040,Handle Damage,Routine,Resolved,4.0,True,0
SVC-REQ-700229,2024-10-04,SVC-50052,HW-PC-10019,Safety Valve Issue,Critical,Resolved,7.0,True,0
SVC-REQ-700230,2025-07-08,SVC-50131,HW-PC-10006,Vent Weight Lost,Routine,Resolved,3.0,False,250
SVC-REQ-700231,2025-06-22,SVC-50058,HW-PC-10045,Handle Damage,Routine,Resolved,3.0,True,0
SVC-REQ-700232,2023-09-26,SVC-50090,HW-PC-10023,Pressure Loss,Critical,Resolved,6.0,True,0
