pricing_id,snapshot_date,product_id,competitor,hawkins_price,competitor_price,price_gap_pct
CP-800053,2024-05-01,HW-PC-10001,TTK Prestige,1020.0,1110.0,8.82
CP-800054,2024-05-01,HW-PC-10001,Butterfly,1020.0,880.0,-13.73
CP-800055,2024-05-01,HW-PC-10001,Pigeon,1020.0,820.0,-19.61
CP-800056,2024-05-01,HW-PC-10001,Stove Kraft,1020.0,1080.0,5.88
CP-800057,2024-06-01,HW-PC-10001,TTK Prestige,1020.0,1130.0,10.78
CP-800058,2024-06-01,HW-PC-10001,Butterfly,1020.0,980.0,-3.92
CP-800059,2024-06-01,HW-PC-10001,Pigeon,1020.0,790.0,-22.55
CP-800060,2024-06-01,HW-PC-10001,Stove Kraft,1020.0,940.0,-7.84
CP-800061,2024-07-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800062,2024-07-01,HW-PC-10001,Butterfly,1020.0,940.0,-7.84
CP-800063,2024-07-01,HW-PC-10001,Pigeon,1020.0,830.0,-18.63
CP-800064,2024-07-01,HW-PC-10001,Stove Kraft,1020.0,1090.0,6.86
CP-800065,2024-08-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800066,2024-08-01,HW-PC-10001,Butterfly,1020.0,900.0,-11.76
CP-800067,2024-08-01,HW-PC-10001,Pigeon,1020.0,790.0,-22.55
CP-800068,2024-08-01,HW-PC-10001,Stove Kraft,1020.0,1050.0,2.94
CP-800069,2024-09-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800070,2024-09-01,HW-PC-10001,Butterfly,1020.0,990.0,-2.94
CP-800071,2024-09-01,HW-PC-10001,Pigeon,1020.0,890.0,-12.75
CP-800072,2024-09-01,HW-PC-10001,Stove Kraft,1020.0,940.0,-7.84
CP-800073,2024-10-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800074,2024-10-01,HW-PC-10001,Butterfly,1020.0,920.0,-9.8
CP-800075,2024-10-01,HW-PC-10001,Pigeon,1020.0,820.0,-19.61
CP-800076,2024-10-01,HW-PC-10001,Stove Kraft,1020.0,930.0,-8.82
CP-800077,2024-11-01,HW-PC-10001,TTK Prestige,1020.0,1180.0,15.69
CP-800078,2024-11-01,HW-PC-10001,Butterfly,1020.0,960.0,-5.88
CP-800079,2024-11-01,HW-PC-10001,Pigeon,1020.0,830.0,-18.63
CP-800080,2024-11-01,HW-PC-10001,Stove Kraft,1020.0,990.0,-2.94
CP-800081,2024-12-01,HW-PC-10001,TTK Prestige,1020.0,1100.0,7.84
CP-800082,2024-12-01,HW-PC-10001,Butterfly,1020.0,800.0,-21.57
CP-800083,2024-12-01,HW-PC-10001,Pigeon,1020.0,860.0,-15.69
CP-800084,2024-12-01,HW-PC-10001,Stove Kraft,1020.0,1010.0,-0.98
CP-800085,2025-01-01,HW-PC-10001,TTK Prestige,1020.0,1100.0,7.84
CP-800086,2025-01-01,HW-PC-10001,Butterfly,1020.0,890.0,-12.75
CP-800087,2025-01-01,HW-PC-10001,Pigeon,1020.0,860.0,-15.69
CP-800088,2025-01-01,HW-PC-10001,Stove Kraft,1020.0,970.0,-4.9
CP-800089,2025-02-01,HW-PC-10001,TTK Prestige,1020.0,1130.0,10.78
CP-800090,2025-02-01,HW-PC-10001,Butterfly,1020.0,970.0,-4.9
CP-800091,2025-02-01,HW-PC-10001,Pigeon,1020.0,860.0,-15.69
CP-800092,2025-02-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800093,2025-03-01,HW-PC-10001,TTK Prestige,1020.0,1130.0,10.78
CP-800094,2025-03-01,HW-PC-10001,Butterfly,1020.0,1020.0,0.0
CP-800095,2025-03-01,HW-PC-10001,Pigeon,1020.0,820.0,-19.61
CP-800096,2025-03-01,HW-PC-10001,Stove Kraft,1020.0,1050.0,2.94
CP-800097,2025-04-01,HW-PC-10001,TTK Prestige,1020.0,1100.0,7.84
CP-800098,2025-04-01,HW-PC-10001,Butterfly,1020.0,980.0,-3.92
CP-800099,2025-04-01,HW-PC-10001,Pigeon,1020.0,930.0,-8.82
CP-800100,2025-04-01,HW-PC-10001,Stove Kraft,1020.0,1140.0,11.76
CP-800101,2025-05-01,HW-PC-10001,TTK Prestige,1020.0,1160.0,13.73
CP-800102,2025-05-01,HW-PC-10001,Butterfly,1020.0,910.0,-10.78
CP-800103,2025-05-01,HW-PC-10001,Pigeon,1020.0,860.0,-15.69
CP-800104,2025-05-01,HW-PC-10001,Stove Kraft,1020.0,960.0,-5.88
CP-800105,2025-06-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800106,2025-06-01,HW-PC-10001,Butterfly,1020.0,850.0,-16.67
CP-800107,2025-06-01,HW-PC-10001,Pigeon,1020.0,850.0,-16.67
CP-800108,2025-06-01,HW-PC-10001,Stove Kraft,1020.0,1020.0,0.0
CP-800109,2025-07-01,HW-PC-10001,TTK Prestige,1020.0,1220.0,19.61
CP-800110,2025-07-01,HW-PC-10001,Butterfly,1020.0,870.0,-14.71
CP-800111,2025-07-01,HW-PC-10001,Pigeon,1020.0,920.0,-9.8
CP-800112,2025-07-01,HW-PC-10001,Stove Kraft,1020.0,910.0,-10.78
CP-800113,2025-08-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800114,2025-08-01,HW-PC-10001,Butterfly,1020.0,920.0,-9.8
CP-800115,2025-08-01,HW-PC-10001,Pigeon,1020.0,910.0,-10.78
CP-800116,2025-08-01,HW-PC-10001,Stove Kraft,1020.0,1020.0,0.0
CP-800117,2025-09-01,HW-PC-10001,TTK Prestige,1020.0,1180.0,15.69
CP-800118,2025-09-01,HW-PC-10001,Butterfly,1020.0,1040.0,1.96
CP-800119,2025-09-01,HW-PC-10001,Pigeon,1020.0,870.0,-14.71
CP-800120,2025-09-01,HW-PC-10001,Stove Kraft,1020.0,1070.0,4.9
CP-800121,2025-10-01,HW-PC-10001,TTK Prestige,1020.0,1170.0,14.71
CP-800122,2025-10-01,HW-PC-10001,Butterfly,1020.0,1000.0,-1.96
CP-800123,2025-10-01,HW-PC-10001,Pigeon,1020.0,940.0,-7.84
CP-800124,2025-10-01,HW-PC-10001,Stove Kraft,1020.0,1010.0,-0.98
CP-800125,2025-11-01,HW-PC-10001,TTK Prestige,1020.0,1180.0,15.69
CP-800126,2025-11-01,HW-PC-10001,Butterfly,1020.0,1000.0,-1.96
CP-800127,2025-11-01,HW-PC-10001,Pigeon,1020.0,890.0,-12.75
CP-800128,2025-11-01,HW-PC-10001,Stove Kraft,1020.0,970.0,-4.9
CP-800129,2025-12-01,HW-PC-10001,TTK Prestige,1020.0,1160.0,13.73
CP-800130,2025-12-01,HW-PC-10001,Butterfly,1020.0,930.0,-8.82
CP-800131,2025-12-01,HW-PC-10001,Pigeon,1020.0,910.0,-10.78
CP-800132,2025-12-01,HW-PC-10001,Stove Kraft,1020.0,1130.0,10.78
CP-800133,2026-01-01,HW-PC-10001,TTK Prestige,1020.0,1200.0,17.65
CP-800134,2026-01-01,HW-PC-10001,Butterfly,1020.0,970.0,-4.9
CP-800135,2026-01-01,HW-PC-10001,Pigeon,1020.0,890.0,-12.75
CP-800136,2026-01-01,HW-PC-10001,Stove Kraft,1020.0,1080.0,5.88
CP-800137,2026-02-01,HW-PC-10001,TTK Prestige,1020.0,1120.0,9.8
CP-800138,2026-02-01,HW-PC-10001,Butterfly,1020.0,960.0,-5.88
CP-800139,2026-02-01,HW-PC-10001,Pigeon,1020.0,830.0,-18.63
CP-800140,2026-02-01,HW-PC-10001,Stove Kraft,1020.0,1060.0,3.92
CP-800141,2026-03-01,HW-PC-10001,TTK Prestige,1020.0,1190.0,16.67
CP-800142,2026-03-01,HW-PC-10001,Butterfly,1020.0,960.0,-5.88
CP-800143,2026-03-01,HW-PC-10001,Pigeon,1020.0,850.0,-16.67
CP-800144,2026-03-01,HW-PC-10001,Stove Kraft,1020.0,960.0,-5.88
CP-800145,2023-04-01,HW-PC-10002,TTK Prestige,1090.0,1090.0,0.0
CP-800146,2023-04-01,HW-PC-10002,Butterfly,1090.0,810.0,-25.69
CP-800147,2023-04-01,HW-PC-10002,Pigeon,1090.0,830.0,-23.85
CP-800148,2023-04-01,HW-PC-10002,Stove Kraft,1090.0,1010.0,-7.34
CP-800149,2023-05-01,HW-PC-10002,TTK Prestige,1090.0,1090.0,0.0
CP-800150,2023-05-01,HW-PC-10002,Butterfly,1090.0,1070.0,-1.83
CP-800151,2023-05-01,HW-PC-10002,Pigeon,1090.0,900.0,-17.43
CP-800152,2023-05-01,HW-PC-10002,Stove Kraft,1090.0,950.0,-12.84
CP-800153,2023-06-01,HW-PC-10002,TTK Prestige,1090.0,1130.0,3.67
CP-800154,2023-06-01,HW-PC-10002,Butterfly,1090.0,960.0,-11.93
CP-800155,2023-06-01,HW-PC-10002,Pigeon,1090.0,790.0,-27.52
CP-800156,2023-06-01,HW-PC-10002,Stove Kraft,1090.0,1050.0,-3.67
CP-800157,2023-07-01,HW-PC-10002,TTK Prestige,1090.0,1150.0,5.5
CP-800158,2023-07-01,HW-PC-10002,Butterfly,1090.0,860.0,-21.1
CP-800159,2023-07-01,HW-PC-10002,Pigeon,1090.0,880.0,-19.27
CP-800160,2023-07-01,HW-PC-10002,Stove Kraft,1090.0,940.0,-13.76
CP-800161,2023-08-01,HW-PC-10002,TTK Prestige,1090.0,1270.0,16.51
CP-800162,2023-08-01,HW-PC-10002,Butterfly,1090.0,910.0,-16.51
CP-800163,2023-08-01,HW-PC-10002,Pigeon,1090.0,790.0,-27.52
CP-800164,2023-08-01,HW-PC-10002,Stove Kraft,1090.0,960.0,-11.93
CP-800165,2023-09-01,HW-PC-10002,TTK Prestige,1090.0,1210.0,11.01
CP-800166,2023-09-01,HW-PC-10002,Butterfly,1090.0,910.0,-16.51
CP-800167,2023-09-01,HW-PC-10002,Pigeon,1090.0,880.0,-19.27
CP-800168,2023-09-01,HW-PC-10002,Stove Kraft,1090.0,1010.0,-7.34
CP-800169,2023-10-01,HW-PC-10002,TTK Prestige,1090.0,1150.0,5.5
CP-800170,2023-10-01,HW-PC-10002,Butterfly,1090.0,1030.0,-5.5
CP-800171,2023-10-01,HW-PC-10002,Pigeon,1090.0,720.0,-33.94
CP-800172,2023-10-01,HW-PC-10002,Stove Kraft,1090.0,910.0,-16.51
CP-800173,2023-11-01,HW-PC-10002,TTK Prestige,1090.0,1130.0,3.67
CP-800174,2023-11-01,HW-PC-10002,Butterfly,1090.0,1040.0,-4.59
CP-800175,2023-11-01,HW-PC-10002,Pigeon,1090.0,910.0,-16.51
CP-800176,2023-11-01,HW-PC-10002,Stove Kraft,1090.0,1060.0,-2.75
CP-800177,2023-12-01,HW-PC-10002,TTK Prestige,1090.0,1140.0,4.59
CP-800178,2023-12-01,HW-PC-10002,Butterfly,1090.0,1050.0,-3.67
CP-800179,2023-12-01,HW-PC-10002,Pigeon,1090.0,940.0,-13.76
CP-800180,2023-12-01,HW-PC-10002,Stove Kraft,1090.0,1000.0,-8.26
CP-800181,2024-01-01,HW-PC-10002,TTK Prestige,1090.0,1090.0,0.0
CP-800182,2024-01-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800183,2024-01-01,HW-PC-10002,Pigeon,1090.0,830.0,-23.85
CP-800184,2024-01-01,HW-PC-10002,Stove Kraft,1090.0,1020.0,-6.42
CP-800185,2024-02-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800186,2024-02-01,HW-PC-10002,Butterfly,1090.0,890.0,-18.35
CP-800187,2024-02-01,HW-PC-10002,Pigeon,1090.0,930.0,-14.68
CP-800188,2024-02-01,HW-PC-10002,Stove Kraft,1090.0,1120.0,2.75
CP-800189,2024-03-01,HW-PC-10002,TTK Prestige,1090.0,1210.0,11.01
CP-800190,2024-03-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800191,2024-03-01,HW-PC-10002,Pigeon,1090.0,860.0,-21.1
CP-800192,2024-03-01,HW-PC-10002,Stove Kraft,1090.0,1130.0,3.67
CP-800193,2024-04-01,HW-PC-10002,TTK Prestige,1090.0,1200.0,10.09
CP-800194,2024-04-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800195,2024-04-01,HW-PC-10002,Pigeon,1090.0,870.0,-20.18
CP-800196,2024-04-01,HW-PC-10002,Stove Kraft,1090.0,1170.0,7.34
CP-800197,2024-05-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800198,2024-05-01,HW-PC-10002,Butterfly,1090.0,1060.0,-2.75
CP-800199,2024-05-01,HW-PC-10002,Pigeon,1090.0,860.0,-21.1
CP-800200,2024-05-01,HW-PC-10002,Stove Kraft,1090.0,960.0,-11.93
CP-800201,2024-06-01,HW-PC-10002,TTK Prestige,1090.0,1220.0,11.93
CP-800202,2024-06-01,HW-PC-10002,Butterfly,1090.0,960.0,-11.93
CP-800203,2024-06-01,HW-PC-10002,Pigeon,1090.0,840.0,-22.94
CP-800204,2024-06-01,HW-PC-10002,Stove Kraft,1090.0,1100.0,0.92
CP-800205,2024-07-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800206,2024-07-01,HW-PC-10002,Butterfly,1090.0,1080.0,-0.92
CP-800207,2024-07-01,HW-PC-10002,Pigeon,1090.0,870.0,-20.18
CP-800208,2024-07-01,HW-PC-10002,Stove Kraft,1090.0,930.0,-14.68
CP-800209,2024-08-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800210,2024-08-01,HW-PC-10002,Butterfly,1090.0,1060.0,-2.75
CP-800211,2024-08-01,HW-PC-10002,Pigeon,1090.0,830.0,-23.85
CP-800212,2024-08-01,HW-PC-10002,Stove Kraft,1090.0,1080.0,-0.92
CP-800213,2024-09-01,HW-PC-10002,TTK Prestige,1090.0,1200.0,10.09
CP-800214,2024-09-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800215,2024-09-01,HW-PC-10002,Pigeon,1090.0,970.0,-11.01
CP-800216,2024-09-01,HW-PC-10002,Stove Kraft,1090.0,1050.0,-3.67
CP-800217,2024-10-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800218,2024-10-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800219,2024-10-01,HW-PC-10002,Pigeon,1090.0,880.0,-19.27
CP-800220,2024-10-01,HW-PC-10002,Stove Kraft,1090.0,1000.0,-8.26
CP-800221,2024-11-01,HW-PC-10002,TTK Prestige,1090.0,1180.0,8.26
CP-800222,2024-11-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800223,2024-11-01,HW-PC-10002,Pigeon,1090.0,910.0,-16.51
CP-800224,2024-11-01,HW-PC-10002,Stove Kraft,1090.0,970.0,-11.01
CP-800225,2024-12-01,HW-PC-10002,TTK Prestige,1090.0,1120.0,2.75
CP-800226,2024-12-01,HW-PC-10002,Butterfly,1090.0,1040.0,-4.59
CP-800227,2024-12-01,HW-PC-10002,Pigeon,1090.0,820.0,-24.77
CP-800228,2024-12-01,HW-PC-10002,Stove Kraft,1090.0,1040.0,-4.59
CP-800229,2025-01-01,HW-PC-10002,TTK Prestige,1090.0,1220.0,11.93
CP-800230,2025-01-01,HW-PC-10002,Butterfly,1090.0,990.0,-9.17
CP-800231,2025-01-01,HW-PC-10002,Pigeon,1090.0,870.0,-20.18
CP-800232,2025-01-01,HW-PC-10002,Stove Kraft,1090.0,1100.0,0.92
CP-800233,2025-02-01,HW-PC-10002,TTK Prestige,1090.0,1220.0,11.93
CP-800234,2025-02-01,HW-PC-10002,Butterfly,1090.0,1070.0,-1.83
CP-800235,2025-02-01,HW-PC-10002,Pigeon,1090.0,820.0,-24.77
CP-800236,2025-02-01,HW-PC-10002,Stove Kraft,1090.0,1030.0,-5.5
CP-800237,2025-03-01,HW-PC-10002,TTK Prestige,1090.0,1220.0,11.93
CP-800238,2025-03-01,HW-PC-10002,Butterfly,1090.0,1050.0,-3.67
CP-800239,2025-03-01,HW-PC-10002,Pigeon,1090.0,960.0,-11.93
CP-800240,2025-03-01,HW-PC-10002,Stove Kraft,1090.0,1160.0,6.42
CP-800241,2025-04-01,HW-PC-10002,TTK Prestige,1090.0,1250.0,14.68
CP-800242,2025-04-01,HW-PC-10002,Butterfly,1090.0,1050.0,-3.67
CP-800243,2025-04-01,HW-PC-10002,Pigeon,1090.0,900.0,-17.43
CP-800244,2025-04-01,HW-PC-10002,Stove Kraft,1090.0,1080.0,-0.92
CP-800245,2025-05-01,HW-PC-10002,TTK Prestige,1090.0,1170.0,7.34
CP-800246,2025-05-01,HW-PC-10002,Butterfly,1090.0,1030.0,-5.5
CP-800247,2025-05-01,HW-PC-10002,Pigeon,1090.0,940.0,-13.76
CP-800248,2025-05-01,HW-PC-10002,Stove Kraft,1090.0,1190.0,9.17
CP-800249,2025-06-01,HW-PC-10002,TTK Prestige,1090.0,1280.0,17.43
CP-800250,2025-06-01,HW-PC-10002,Butterfly,1090.0,960.0,-11.93
CP-800251,2025-06-01,HW-PC-10002,Pigeon,1090.0,890.0,-18.35
CP-800252,2025-06-01,HW-PC-10002,Stove Kraft,1090.0,1110.0,1.83
CP-800253,2025-07-01,HW-PC-10002,TTK Prestige,1090.0,1250.0,14.68
CP-800254,2025-07-01,HW-PC-10002,Butterfly,1090.0,1000.0,-8.26
CP-800255,2025-07-01,HW-PC-10002,Pigeon,1090.0,870.0,-20.18
CP-800256,2025-07-01,HW-PC-10002,Stove Kraft,1090.0,1100.0,0.92
CP-800257,2025-08-01,HW-PC-10002,TTK Prestige,1090.0,1320.0,21.1
CP-800258,2025-08-01,HW-PC-10002,Butterfly,1090.0,1020.0,-6.42
CP-800259,2025-08-01,HW-PC-10002,Pigeon,1090.0,850.0,-22.02
CP-800260,2025-08-01,HW-PC-10002,Stove Kraft,1090.0,1060.0,-2.75
CP-800261,2025-09-01,HW-PC-10002,TTK Prestige,1090.0,1160.0,6.42
CP-800262,2025-09-01,HW-PC-10002,Butterfly,1090.0,1090.0,0.0
CP-800263,2025-09-01,HW-PC-10002,Pigeon,1090.0,810.0,-25.69
CP-800264,2025-09-01,HW-PC-10002,Stove Kraft,1090.0,1160.0,6.42
CP-800265,2025-10-01,HW-PC-10002,TTK Prestige,1090.0,1200.0,10.09
CP-800266,2025-10-01,HW-PC-10002,Butterfly,1090.0,940.0,-13.76
CP-800267,2025-10-01,HW-PC-10002,Pigeon,1090.0,890.0,-18.35
CP-800268,2025-10-01,HW-PC-10002,Stove Kraft,1090.0,1040.0,-4.59
CP-800269,2025-11-01,HW-PC-10002,TTK Prestige,1090.0,1220.0,11.93
CP-800270,2025-11-01,HW-PC-10002,Butterfly,1090.0,1030.0,-5.5
CP-800271,2025-11-01,HW-PC-10002,Pigeon,1090.0,940.0,-13.76
CP-800272,2025-11-01,HW-PC-10002,Stove Kraft,1090.0,1010.0,-7.34
CP-800273,2025-12-01,HW-PC-10002,TTK Prestige,1090.0,1280.0,17.43
CP-800274,2025-12-01,HW-PC-10002,Butterfly,1090.0,1000.0,-8.26
CP-800275,2025-12-01,HW-PC-10002,Pigeon,1090.0,930.0,-14.68
CP-800276,2025-12-01,HW-PC-10002,Stove Kraft,1090.0,1110.0,1.83
CP-800277,2026-01-01,HW-PC-10002,TTK Prestige,1090.0,1240.0,13.76
CP-800278,2026-01-01,HW-PC-10002,Butterfly,1090.0,1120.0,2.75
CP-800279,2026-01-01,HW-PC-10002,Pigeon,1090.0,930.0,-14.68
CP-800280,2026-01-01,HW-PC-10002,Stove Kraft,1090.0,1070.0,-1.83
CP-800281,2026-02-01,HW-PC-10002,TTK Prestige,1090.0,1290.0,18.35
CP-800282,2026-02-01,HW-PC-10002,Butterfly,1090.0,1030.0,-5.5
CP-800283,2026-02-01,HW-PC-10002,Pigeon,1090.0,910.0,-16.51
CP-800284,2026-02-01,HW-PC-10002,Stove Kraft,1090.0,1080.0,-0.92
CP-800285,2026-03-01,HW-PC-10002,TTK Prestige,1090.0,1230.0,12.84
CP-800286,2026-03-01,HW-PC-10002,Butterfly,1090.0,1100.0,0.92
CP-800287,2026-03-01,HW-PC-10002,Pigeon,1090.0,1010.0,-7.34
CP-800288,2026-03-01,HW-PC-10002,Stove Kraft,1090.0,1220.0,11.93
CP-800289,2023-04-01,HW-PC-10003,TTK Prestige,1230.0,1280.0,4.07
CP-800290,2023-04-01,HW-PC-10003,Butterfly,1230.0,1160.0,-5.69
CP-800291,2023-04-01,HW-PC-10003,Pigeon,1230.0,980.0,-20.33
CP-800292,2023-04-01,HW-PC-10003,Stove Kraft,1230.0,1130.0,-8.13
CP-800293,2023-05-01,HW-PC-10003,TTK Prestige,1230.0,1370.0,11.38
CP-800294,2023-05-01,HW-PC-10003,Butterfly,1230.0,1110.0,-9.76
CP-800295,2023-05-01,HW-PC-10003,Pigeon,1230.0,950.0,-22.76
CP-800296,2023-05-01,HW-PC-10003,Stove Kraft,1230.0,1160.0,-5.69
CP-800297,2023-06-01,HW-PC-10003,TTK Prestige,1230.0,1330.0,8.13
CP-800298,2023-06-01,HW-PC-10003,Butterfly,1230.0,940.0,-23.58
CP-800299,2023-06-01,HW-PC-10003,Pigeon,1230.0,910.0,-26.02
CP-800300,2023-06-01,HW-PC-10003,Stove Kraft,1230.0,1020.0,-17.07
CP-800301,2023-07-01,HW-PC-10003,TTK Prestige,1230.0,1380.0,12.2
CP-800302,2023-07-01,HW-PC-10003,Butterfly,1230.0,1070.0,-13.01
CP-800303,2023-07-01,HW-PC-10003,Pigeon,1230.0,1020.0,-17.07
CP-800304,2023-07-01,HW-PC-10003,Stove Kraft,1230.0,1110.0,-9.76
CP-800305,2023-08-01,HW-PC-10003,TTK Prestige,1230.0,1330.0,8.13
CP-800306,2023-08-01,HW-PC-10003,Butterfly,1230.0,1200.0,-2.44
CP-800307,2023-08-01,HW-PC-10003,Pigeon,1230.0,970.0,-21.14
CP-800308,2023-08-01,HW-PC-10003,Stove Kraft,1230.0,1010.0,-17.89
CP-800309,2023-09-01,HW-PC-10003,TTK Prestige,1230.0,1410.0,14.63
CP-800310,2023-09-01,HW-PC-10003,Butterfly,1230.0,1090.0,-11.38
CP-800311,2023-09-01,HW-PC-10003,Pigeon,1230.0,970.0,-21.14
CP-800312,2023-09-01,HW-PC-10003,Stove Kraft,1230.0,1130.0,-8.13
CP-800313,2023-10-01,HW-PC-10003,TTK Prestige,1230.0,1350.0,9.76
CP-800314,2023-10-01,HW-PC-10003,Butterfly,1230.0,1200.0,-2.44
CP-800315,2023-10-01,HW-PC-10003,Pigeon,1230.0,930.0,-24.39
CP-800316,2023-10-01,HW-PC-10003,Stove Kraft,1230.0,1010.0,-17.89
CP-800317,2023-11-01,HW-PC-10003,TTK Prestige,1230.0,1300.0,5.69
CP-800318,2023-11-01,HW-PC-10003,Butterfly,1230.0,1120.0,-8.94
CP-800319,2023-11-01,HW-PC-10003,Pigeon,1230.0,980.0,-20.33
CP-800320,2023-11-01,HW-PC-10003,Stove Kraft,1230.0,1210.0,-1.63
CP-800321,2023-12-01,HW-PC-10003,TTK Prestige,1230.0,1280.0,4.07
CP-800322,2023-12-01,HW-PC-10003,Butterfly,1230.0,970.0,-21.14
